STATE,YEAR,GDP_VALUE
UTTARAKHAND,2021,211657
WEST BENGAL,2021,124798
ANDAMAN AND NICOBAR ISLANDS,2022,229079
ANDHRA PRADESH,2022,219518
ARUNACHAL PRADESH,2022,205645
ASSAM,2022,118504
BIHAR,2022,596370
CHANDIGARH,2022,333932
CHHATTISGARH,2022,133898
DELHI,2022,444768
GOA,2022,472000
GUJARAT,2022,241930
HARYANA,2022,296685
HIMACHAL PRADESH,2022,232128
JAMMU AND KASHMIR,2022,132806
JHARKHAND,2022,84059
KARNATAKA,2022,301673
KERALA,2022,236093
MADHYA PRADESH,2022,140583
MAHARASHTRA,2022,242247
MANIPUR,2022,91559
MEGHALAYA,2022,98572
MIZORAM,2022,198000
NAGALAND,2022,125887
ODISHA,2022,150676
PUDUCHERRY,2022,251000
PUNJAB,2022,173873
RAJASTHAN,2022,156149
SIKKIM,2022,541544
TAMIL NADU,2022,273288
TELANGANA,2022,308732
TRIPURA,2022,158382
UTTAR PRADESH,2022,73048
UTTARAKHAND,2022,233565
WEST BENGAL,2022,157254
